DATAFLOW,LAST UPDATE,freq,unit,product,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2018-01,22903.287,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2018-02,21859.411,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2018-03,24330.059,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2018-04,20807.356,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2018-05,20178.532,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2018-06,19833.323,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2018-07,21810.708,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2018-08,22321.128,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2018-09,21045.757,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2018-10,22103.062,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2018-11,22231.346,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2018-12,21647.222,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2019-01,24569.178,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2019-02,20564.785,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2019-03,20870.737,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2019-04,19802.021,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2019-05,20591.890,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2019-06,21190.145,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2019-07,23635.009,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2019-08,22456.021,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2019-09,21372.516,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2019-10,21031.028,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2019-11,22616.251,
ESTAT:NRG_105M(1.0),20/02/20 23:00:00,M,GWH,6000,16_107100B,ES,2019-12,22320.241,
